title,director,country,listed_in,type,combined_features
The Witch: Part 1 - The Subversion,Park Hoon-jung,South Korea,"Action & Adventure, International Movies, Sci-Fi & Fantasy",Movie,"The Witch: Part 1 - The Subversion Park Hoon-jung South Korea Action & Adventure, International Movies, Sci-Fi & Fantasy Movie"
Before I Fall,Ry Russo-Young,United States,"Dramas, Romantic Movies",Movie,"Before I Fall Ry Russo-Young United States Dramas, Romantic Movies Movie"
365 Days,"Barbara Białowąs, Tomasz Mandes",Poland,"Dramas, International Movies, Romantic Movies",Movie,"365 Days Barbara Białowąs, Tomasz Mandes Poland Dramas, International Movies, Romantic Movies Movie"
Forensic,"Akhil Paul, Anas Khan",India,"International Movies, Thrillers",Movie,"Forensic Akhil Paul, Anas Khan India International Movies, Thrillers Movie"
Project Papa,Kanika Batra,India,"Dramas, Independent Movies, International Movies",Movie,"Project Papa Kanika Batra India Dramas, Independent Movies, International Movies Movie"
The Night Clerk,Michael Cristofer,United States,"Dramas, Independent Movies",Movie,"The Night Clerk Michael Cristofer United States Dramas, Independent Movies Movie"
Before the Summer Crowds,Mohamed Khan,Egypt,"Dramas, International Movies",Movie,"Before the Summer Crowds Mohamed Khan Egypt Dramas, International Movies Movie"
Big Stone Gap,Adriana Trigiani,United States,"Comedies, Romantic Movies",Movie,"Big Stone Gap Adriana Trigiani United States Comedies, Romantic Movies Movie"
Choked: Paisa Bolta Hai,Anurag Kashyap,India,"Dramas, International Movies",Movie,"Choked: Paisa Bolta Hai Anurag Kashyap India Dramas, International Movies Movie"
Merry Men 2: Another Mission,Moses Inwang,Nigeria,"Comedies, International Movies",Movie,"Merry Men 2: Another Mission Moses Inwang Nigeria Comedies, International Movies Movie"
Supernatural,Phil Sgriccia,United States,"Classic & Cult TV, TV Action & Adventure, TV Horror",TV Show,"Supernatural Phil Sgriccia United States Classic & Cult TV, TV Action & Adventure, TV Horror TV Show"
The Last Days of American Crime,Olivier Megaton,United States,"Action & Adventure, Dramas, Independent Movies",Movie,"The Last Days of American Crime Olivier Megaton United States Action & Adventure, Dramas, Independent Movies Movie"
Hot Sweet Sour,Andaç Haznedaroğlu,Turkey,"Dramas, International Movies, Romantic Movies",Movie,"Hot Sweet Sour Andaç Haznedaroğlu Turkey Dramas, International Movies, Romantic Movies Movie"
Overnight Republic,Murat Kepez,Turkey,"Comedies, International Movies",Movie,"Overnight Republic Murat Kepez Turkey Comedies, International Movies Movie"
Can’t Complain,Ahmed Nader Galal,Egypt,"Comedies, International Movies, Romantic Movies",Movie,"Can’t Complain Ahmed Nader Galal Egypt Comedies, International Movies, Romantic Movies Movie"
Lady Bird,Greta Gerwig,United States,"Comedies, Dramas, Independent Movies",Movie,"Lady Bird Greta Gerwig United States Comedies, Dramas, Independent Movies Movie"
Spelling the Dream,Sam Rega,United States,"Children & Family Movies, Documentaries",Movie,"Spelling the Dream Sam Rega United States Children & Family Movies, Documentaries Movie"
Andaleeb El Dokki,Wael Ehsan,Egypt,"Comedies, International Movies",Movie,"Andaleeb El Dokki Wael Ehsan Egypt Comedies, International Movies Movie"
Let's Dance,Inas El-Degheidy,Egypt,"Comedies, Dramas, International Movies",Movie,"Let's Dance Inas El-Degheidy Egypt Comedies, Dramas, International Movies Movie"
My Horrible Grandma,Sameh Abdulaziz,Egypt,"Comedies, Dramas, International Movies",Movie,"My Horrible Grandma Sameh Abdulaziz Egypt Comedies, Dramas, International Movies Movie"
Sorry To Disturb,Khaled Marei,Egypt,"Dramas, International Movies",Movie,"Sorry To Disturb Khaled Marei Egypt Dramas, International Movies Movie"
The Student Cop,Wael Ihsan,Egypt,"Action & Adventure, Comedies, International Movies",Movie,"The Student Cop Wael Ihsan Egypt Action & Adventure, Comedies, International Movies Movie"
What's Up?,Izidore K. Musallam,Saudi Arabia,"Comedies, Dramas, International Movies",Movie,"What's Up? Izidore K. Musallam Saudi Arabia Comedies, Dramas, International Movies Movie"
X Large,Sherif Arafa,Egypt,"Comedies, International Movies, Romantic Movies",Movie,"X Large Sherif Arafa Egypt Comedies, International Movies, Romantic Movies Movie"
122,Yasir Al Yasiri,Egypt,"Horror Movies, International Movies",Movie,"122 Yasir Al Yasiri Egypt Horror Movies, International Movies Movie"
Mr. Romantic,Ahmed Al-Badry,Egypt,"Comedies, International Movies, Romantic Movies",Movie,"Mr. Romantic Ahmed Al-Badry Egypt Comedies, International Movies, Romantic Movies Movie"
Chippa,Safdar Rahman,India,"Comedies, Dramas, Independent Movies",Movie,"Chippa Safdar Rahman India Comedies, Dramas, Independent Movies Movie"
Cook Off,Tomas Brickhill,Zimbabwe,"Comedies, International Movies, Romantic Movies",Movie,"Cook Off Tomas Brickhill Zimbabwe Comedies, International Movies, Romantic Movies Movie"
Kalek Shanab,Hani Al-Shaibani,United Arab Emirates,"Comedies, International Movies",Movie,"Kalek Shanab Hani Al-Shaibani United Arab Emirates Comedies, International Movies Movie"
Mirai,Mamoru Hosoda,Japan,"Action & Adventure, Anime Features, Children & Family Movies",Movie,"Mirai Mamoru Hosoda Japan Action & Adventure, Anime Features, Children & Family Movies Movie"
The Disaster Artist,James Franco,United States,"Comedies, Dramas",Movie,"The Disaster Artist James Franco United States Comedies, Dramas Movie"
Dear My Friends,Not Given,South Korea,"International TV Shows, Korean TV Shows, TV Dramas",TV Show,"Dear My Friends Not Given South Korea International TV Shows, Korean TV Shows, TV Dramas TV Show"
The Stolen,Niall Johnson,United Kingdom,Dramas,Movie,The Stolen Niall Johnson United Kingdom Dramas Movie
High Strung Free Dance,Michael Damian,Romania,"Dramas, Music & Musicals, Romantic Movies",Movie,"High Strung Free Dance Michael Damian Romania Dramas, Music & Musicals, Romantic Movies Movie"
Freej Al Taibeen,Ahmed Zain,United Arab Emirates,"Comedies, Dramas, International Movies",Movie,"Freej Al Taibeen Ahmed Zain United Arab Emirates Comedies, Dramas, International Movies Movie"
Kenny Sebastian: The Most Interesting Person in the Room,Angshuman Ghosh,India,Stand-Up Comedy,Movie,Kenny Sebastian: The Most Interesting Person in the Room Angshuman Ghosh India Stand-Up Comedy Movie
The Other,Youssef Chahine,Egypt,"Dramas, International Movies, Romantic Movies",Movie,"The Other Youssef Chahine Egypt Dramas, International Movies, Romantic Movies Movie"
Grandmother's Farm,Ahmed Zein,United Arab Emirates,"Comedies, Horror Movies, International Movies",Movie,"Grandmother's Farm Ahmed Zein United Arab Emirates Comedies, Horror Movies, International Movies Movie"
Grandmother's Farm Part 2,Ahmed Zein,United Arab Emirates,"Comedies, Horror Movies, International Movies",Movie,"Grandmother's Farm Part 2 Ahmed Zein United Arab Emirates Comedies, Horror Movies, International Movies Movie"
Intuition,Alejandro Montiel,Argentina,"Dramas, International Movies, Thrillers",Movie,"Intuition Alejandro Montiel Argentina Dramas, International Movies, Thrillers Movie"
I'm No Longer Here,Fernando Frías de la Parra,Mexico,"Dramas, Independent Movies, International Movies",Movie,"I'm No Longer Here Fernando Frías de la Parra Mexico Dramas, Independent Movies, International Movies Movie"
Hannah Gadsby: Douglas,Madeleine Parry,Australia,Stand-Up Comedy,Movie,Hannah Gadsby: Douglas Madeleine Parry Australia Stand-Up Comedy Movie
Ne Zha,Yu Yang,China,"Action & Adventure, Comedies, International Movies",Movie,"Ne Zha Yu Yang China Action & Adventure, Comedies, International Movies Movie"
Supergirl,Jesse Warn,United States,"TV Action & Adventure, TV Sci-Fi & Fantasy",TV Show,"Supergirl Jesse Warn United States TV Action & Adventure, TV Sci-Fi & Fantasy TV Show"
Uncut Gems,"Josh Safdie, Benny Safdie",United States,"Dramas, Thrillers",Movie,"Uncut Gems Josh Safdie, Benny Safdie United States Dramas, Thrillers Movie"
Fifty Year Old Teenager,Fouad Al Shatti,Not Given,"Comedies, International Movies",Movie,"Fifty Year Old Teenager Fouad Al Shatti Not Given Comedies, International Movies Movie"
One Day We'll Talk About Today,Angga Dwimas Sasongko,Indonesia,"Dramas, International Movies",Movie,"One Day We'll Talk About Today Angga Dwimas Sasongko Indonesia Dramas, International Movies Movie"
Si Doel the Movie 3,Rano Karno,Indonesia,"Dramas, International Movies, Music & Musicals",Movie,"Si Doel the Movie 3 Rano Karno Indonesia Dramas, International Movies, Music & Musicals Movie"
Lock Your Girls In,Fouad El-Mohandes,Not Given,"Comedies, International Movies, Romantic Movies",Movie,"Lock Your Girls In Fouad El-Mohandes Not Given Comedies, International Movies, Romantic Movies Movie"
Living in Bondage: Breaking Free,Ramsey Nouah,Nigeria,"Horror Movies, International Movies, Thrillers",Movie,"Living in Bondage: Breaking Free Ramsey Nouah Nigeria Horror Movies, International Movies, Thrillers Movie"
Modest Heroes: Ponoc Short Films Theatre,"Hiromasa Yonebayashi, Yoshiyuki Momose, Akihiko Yamashita",Japan,"Anime Features, Children & Family Movies",Movie,"Modest Heroes: Ponoc Short Films Theatre Hiromasa Yonebayashi, Yoshiyuki Momose, Akihiko Yamashita Japan Anime Features, Children & Family Movies Movie"
The Lovebirds,Michael Showalter,United States,"Action & Adventure, Comedies, Romantic Movies",Movie,"The Lovebirds Michael Showalter United States Action & Adventure, Comedies, Romantic Movies Movie"
Trailer Park Boys: The Animated Series,"Norm Hiscock, Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells",Canada,TV Comedies,TV Show,"Trailer Park Boys: The Animated Series Norm Hiscock, Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells Canada TV Comedies TV Show"
#FriendButMarried,Rako Prijanto,Indonesia,"Dramas, International Movies, Romantic Movies",Movie,"#FriendButMarried Rako Prijanto Indonesia Dramas, International Movies, Romantic Movies Movie"
Bye Bye London,Almunsif Alsuwaisi,Kuwait,"Comedies, Dramas, International Movies",Movie,"Bye Bye London Almunsif Alsuwaisi Kuwait Comedies, Dramas, International Movies Movie"
Mujeres arriba,Andrés Feddersen,Chile,"Comedies, International Movies, Romantic Movies",Movie,"Mujeres arriba Andrés Feddersen Chile Comedies, International Movies, Romantic Movies Movie"
Raya and Sakina,Hussein Kamal,Not Given,"Comedies, Dramas, International Movies",Movie,"Raya and Sakina Hussein Kamal Not Given Comedies, Dramas, International Movies Movie"
No Longer kids,Samir Al Asfory,Egypt,"Comedies, Dramas, International Movies",Movie,"No Longer kids Samir Al Asfory Egypt Comedies, Dramas, International Movies Movie"
The Married Couples,Hassan AbdulSalam,Egypt,"Comedies, International Movies, Romantic Movies",Movie,"The Married Couples Hassan AbdulSalam Egypt Comedies, International Movies, Romantic Movies Movie"
The School of Mischief,Houssam El-Din Mustafa,Egypt,"Comedies, Dramas, International Movies",Movie,"The School of Mischief Houssam El-Din Mustafa Egypt Comedies, Dramas, International Movies Movie"
Lady Driver,Shaun Paul Piccinino,United States,"Dramas, Sports Movies",Movie,"Lady Driver Shaun Paul Piccinino United States Dramas, Sports Movies Movie"
Sayed the Servant,Hussein Kamal,Not Given,"Comedies, International Movies",Movie,"Sayed the Servant Hussein Kamal Not Given Comedies, International Movies Movie"
The Witness Who Didn't See Anything,"Muhammad Fadl, Hany Motawie",Egypt,"Comedies, International Movies",Movie,"The Witness Who Didn't See Anything Muhammad Fadl, Hany Motawie Egypt Comedies, International Movies Movie"
Anchor Baby,Lonzo Nzekwe,Canada,"Dramas, International Movies",Movie,"Anchor Baby Lonzo Nzekwe Canada Dramas, International Movies Movie"
Ben Platt Live from Radio City Music Hall,"Alex Timbers, Sam Wrench",United States,Music & Musicals,Movie,"Ben Platt Live from Radio City Music Hall Alex Timbers, Sam Wrench United States Music & Musicals Movie"
Honeytrap,Rebecca Johnson,United Kingdom,"Dramas, Independent Movies",Movie,"Honeytrap Rebecca Johnson United Kingdom Dramas, Independent Movies Movie"
I Will Follow,Ava DuVernay,United States,"Dramas, Independent Movies, Romantic Movies",Movie,"I Will Follow Ava DuVernay United States Dramas, Independent Movies, Romantic Movies Movie"
Mutiny of the Worker Bees,Carlos Morett,Mexico,"Comedies, International Movies",Movie,"Mutiny of the Worker Bees Carlos Morett Mexico Comedies, International Movies Movie"
What Are the Odds?,Megha Ramaswamy,India,"Comedies, Dramas, Independent Movies",Movie,"What Are the Odds? Megha Ramaswamy India Comedies, Dramas, Independent Movies Movie"
Either Me Or My Auntie,Saeed Hamed,Egypt,"Comedies, International Movies",Movie,"Either Me Or My Auntie Saeed Hamed Egypt Comedies, International Movies Movie"
Escaping Tel Aviv,Sherif Arafa,Egypt,"Action & Adventure, International Movies",Movie,"Escaping Tel Aviv Sherif Arafa Egypt Action & Adventure, International Movies Movie"
Game Over,Ahmed Al-Badry,Egypt,"Comedies, International Movies, Romantic Movies",Movie,"Game Over Ahmed Al-Badry Egypt Comedies, International Movies, Romantic Movies Movie"
Karkar,Ali Ragab,Egypt,"Comedies, International Movies",Movie,"Karkar Ali Ragab Egypt Comedies, International Movies Movie"
My Sleeping Lover,Ahmad El-Badri,Egypt,"Comedies, International Movies",Movie,"My Sleeping Lover Ahmad El-Badri Egypt Comedies, International Movies Movie"
Omar & Salma 2,Ahmad El-Badri,Egypt,"Comedies, International Movies",Movie,"Omar & Salma 2 Ahmad El-Badri Egypt Comedies, International Movies Movie"
Patton Oswalt: I Love Everything,Marcus Raboy,United States,"Stand-Up Comedy & Talk Shows, TV Comedies",TV Show,"Patton Oswalt: I Love Everything Marcus Raboy United States Stand-Up Comedy & Talk Shows, TV Comedies TV Show"
Tarek's Situation,Wael Ehsan,Egypt,"Comedies, International Movies, Romantic Movies",Movie,"Tarek's Situation Wael Ehsan Egypt Comedies, International Movies, Romantic Movies Movie"
The Beach Loafer,Ali Ragab,Egypt,"Comedies, International Movies",Movie,"The Beach Loafer Ali Ragab Egypt Comedies, International Movies Movie"
Mike Birbiglia: My Girlfriend's Boyfriend,Seth Barrish,United States,Stand-Up Comedy,Movie,Mike Birbiglia: My Girlfriend's Boyfriend Seth Barrish United States Stand-Up Comedy Movie
Wadjda,Haifaa Al-Mansour,Saudi Arabia,"Dramas, Independent Movies, International Movies",Movie,"Wadjda Haifaa Al-Mansour Saudi Arabia Dramas, Independent Movies, International Movies Movie"
Zaki Chan,Wael Ihsan,Egypt,"Comedies, International Movies, Romantic Movies",Movie,"Zaki Chan Wael Ihsan Egypt Comedies, International Movies, Romantic Movies Movie"
Light in the Dark,Ekene Som Mekwunye,Nigeria,"Dramas, International Movies",Movie,"Light in the Dark Ekene Som Mekwunye Nigeria Dramas, International Movies Movie"
The End,Mohammed Alhmly,Kuwait,"Action & Adventure, Comedies, International Movies",Movie,"The End Mohammed Alhmly Kuwait Action & Adventure, Comedies, International Movies Movie"
Heaven Without People,Lucien Bourjeily,Lebanon,"Dramas, International Movies",Movie,"Heaven Without People Lucien Bourjeily Lebanon Dramas, International Movies Movie"
"I love you, stupid",Laura Mañá,Spain,"Comedies, International Movies, Romantic Movies",Movie,"I love you, stupid Laura Mañá Spain Comedies, International Movies, Romantic Movies Movie"
Inhuman Resources,Ziad Doueiri,France,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,"Inhuman Resources Ziad Doueiri France Crime TV Shows, International TV Shows, TV Dramas TV Show"
Sleepless Society: Two Pillows & A Lost Soul,Sivaroj Kongsakul,Thailand,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,"Sleepless Society: Two Pillows & A Lost Soul Sivaroj Kongsakul Thailand Crime TV Shows, International TV Shows, TV Dramas TV Show"
